N,Area_Wide,Area_Narrow,Error_Wide,Error_Narrow
100,0.81,0.88,0.142419,0.0683071
600,0.93,0.831667,0.01537,0.11948
1100,0.842727,0.781818,0.107769,0.172256
1600,0.961875,0.778125,0.0183774,0.176166
2100,0.9,0.787619,0.0471322,0.166115
2600,0.910385,0.779615,0.0361376,0.174588
3100,0.929032,0.780968,0.0163945,0.173157
3600,0.8425,0.775278,0.10801,0.179181
4100,0.878049,0.780244,0.0703729,0.173923
4600,0.917609,0.783913,0.0284891,0.170038
5100,0.942353,0.795294,0.00229138,0.157989
5600,0.95625,0.782321,0.012422,0.171723
6100,0.925082,0.781967,0.0205769,0.172098
6600,0.940909,0.795606,0.00382004,0.157658
7100,0.962113,0.787183,0.0186291,0.166576
7600,0.956842,0.789868,0.0130489,0.163733
8100,0.918889,0.78963,0.0271338,0.163986
8600,0.939767,0.783953,0.00502875,0.169996
9100,0.973187,0.782418,0.0303537,0.171622
9600,0.904688,0.788646,0.0421694,0.165028
10100,0.907129,0.786139,0.0395847,0.167682
10600,0.939906,0.786981,0.00488242,0.16679
11100,0.922703,0.783874,0.0230959,0.17008
11600,0.945,0.787845,0.000511176,0.165876
12100,0.926777,0.783471,0.0187824,0.170506
12600,0.950714,0.784048,0.00656113,0.169896
13100,0.935725,0.784962,0.00930845,0.168928
13600,0.931765,0.791324,0.0135016,0.162193
14100,0.947234,0.787872,0.00287645,0.165846
14600,0.945,0.785616,0.000511176,0.168235
15100,0.939934,0.781391,0.00485265,0.172709
15600,0.932308,0.784615,0.0129267,0.169295
16100,0.955342,0.784969,0.0114603,0.16892
16600,0.919518,0.786205,0.0264676,0.167612
17100,0.966316,0.785322,0.0230791,0.168547
17600,0.969034,0.786761,0.0259571,0.167023
18100,0.895525,0.784144,0.0518702,0.169794
18600,0.930968,0.790753,0.0143454,0.162797
19100,0.934869,0.78356,0.0102148,0.170412
19600,0.939031,0.791173,0.00580887,0.162351
20100,0.964925,0.786667,0.021607,0.167123
20600,0.956796,0.78665,0.0130002,0.16714
21100,0.961422,0.785498,0.0178976,0.168361
21600,0.914583,0.780602,0.0316922,0.173544
22100,0.961493,0.789729,0.0179732,0.163881
22600,0.950973,0.78385,0.00683552,0.170106
23100,0.941299,0.785498,0.00340754,0.16836
23600,0.970169,0.784915,0.0271592,0.168977
24100,0.947427,0.788133,0.00308115,0.165571
24600,0.945366,0.779187,0.00089852,0.175042
25100,0.986773,0.785896,0.0447379,0.167938
25600,0.934102,0.784531,0.0110275,0.169384
26100,0.946207,0.784483,0.00178897,0.169435
26600,0.960564,0.783195,0.0169893,0.170798
27100,0.949815,0.788081,0.00560955,0.165625
27600,0.940761,0.786739,0.00397697,0.167046
28100,0.930747,0.787438,0.0145787,0.166307
28600,0.979615,0.781853,0.0371599,0.172219
29100,0.924433,0.790137,0.021264,0.163448
29600,0.910946,0.783074,0.0355433,0.170926
30100,0.919136,0.783123,0.0268719,0.170875
30600,0.965294,0.786438,0.0219974,0.167365
31100,0.950064,0.785563,0.00587297,0.168292
31600,0.978608,0.786709,0.0360929,0.167078
32100,0.953832,0.78704,0.00986175,0.166727
32600,0.962945,0.782393,0.0195101,0.171648
33100,0.929366,0.788006,0.0160417,0.165705
33600,0.920893,0.787679,0.0250121,0.166052
34100,0.958328,0.783109,0.0146226,0.17089
34600,0.942139,0.783237,0.00251817,0.170754
35100,0.950769,0.786496,0.0066193,0.167304
35600,0.944494,0.784298,2.41434e-05,0.169631
36100,0.951357,0.786066,0.00724196,0.167758
36600,0.935902,0.784617,0.00912164,0.169293
37100,0.940755,0.784151,0.00398348,0.169786
37600,0.94883,0.781596,0.00456593,0.172492
38100,0.940157,0.78378,0.0046158,0.17018
38600,0.950596,0.786917,0.00643574,0.166858
39100,0.960537,0.785013,0.0169609,0.168874
39600,0.950682,0.788081,0.00652676,0.165626
40100,0.948928,0.780075,0.00466958,0.174102
40600,0.941897,0.7833,0.00277458,0.170687
41100,0.957591,0.786058,0.0138421,0.167767
41600,0.972909,0.786851,0.0300592,0.166928
42100,0.944466,0.787078,5.46604e-05,0.166687
42600,0.944789,0.786878,0.000287498,0.166899
43100,0.955336,0.787216,0.0114548,0.166542
43600,0.947064,0.782615,0.00269665,0.171413
44100,0.94,0.787143,0.00478253,0.166619
44600,0.926435,0.784036,0.0191444,0.169908
45100,0.923747,0.783503,0.02199,0.170472
45600,0.948355,0.786645,0.00406353,0.167146
46100,0.955835,0.784859,0.0119828,0.169037
46600,0.950021,0.785815,0.00582761,0.168024
47100,0.934777,0.786752,0.0103123,0.167033
47600,0.965798,0.787542,0.0225312,0.166196
48100,0.953326,0.786715,0.00932669,0.167072
48600,0.930926,0.783148,0.0143896,0.170848
49100,0.954073,0.784725,0.0101175,0.169179
49600,0.952077,0.78879,0.00800348,0.164875
50100,0.941317,0.787505,0.00338778,0.166235
50600,0.958874,0.787095,0.0151997,0.16667
51100,0.950724,0.787554,0.00657149,0.166184
51600,0.962791,0.785194,0.0193469,0.168682
52100,0.94785,0.786276,0.0035289,0.167536
52600,0.92173,0.783631,0.0241257,0.170337
53100,0.935593,0.786817,0.00944818,0.166963
53600,0.948358,0.788862,0.00406665,0.164799
54100,0.94658,0.782736,0.00218442,0.171285
54600,0.917637,0.786612,0.0284588,0.167181
55100,0.950472,0.78686,0.00630447,0.166918
55600,0.960378,0.783633,0.0167922,0.170335
56100,0.920856,0.78795,0.0250515,0.165764
56600,0.926714,0.785424,0.0188492,0.168439
57100,0.949492,0.785131,0.00526717,0.168748
57600,0.952187,0.789253,0.00812088,0.164384
58100,0.93222,0.781652,0.0130192,0.172432
58600,0.923038,0.781792,0.0227414,0.172284
59100,0.937005,0.782707,0.00795339,0.171315
59600,0.942886,0.786896,0.0017271,0.16688
60100,0.932945,0.784176,0.0122519,0.16976
60600,0.940545,0.782343,0.00420599,0.1717
61100,0.952291,0.783601,0.00823081,0.170369
61600,0.932289,0.785422,0.0129465,0.168441
62100,0.937971,0.784428,0.00693071,0.169493
62600,0.928323,0.783738,0.0171458,0.170224
63100,0.966894,0.788209,0.0236911,0.16549
63600,0.951792,0.785723,0.00770263,0.168122
64100,0.952231,0.78649,0.00816682,0.16731
64600,0.931068,0.783173,0.0142391,0.170821
65100,0.951429,0.786943,0.00731737,0.16683
65600,0.955838,0.785625,0.0119863,0.168226
66100,0.950378,0.784992,0.00620532,0.168896
66600,0.938243,0.785165,0.00664249,0.168713
67100,0.955261,0.782936,0.0113747,0.171073
67600,0.949393,0.785533,0.00516275,0.168324
68100,0.950617,0.784699,0.00645785,0.169206
68600,0.936079,0.783994,0.00893416,0.169952
69100,0.961476,0.784674,0.0179551,0.169232
69600,0.945388,0.785431,0.000921894,0.168431
70100,0.95418,0.783837,0.0102302,0.170118
70600,0.9283,0.786657,0.0171695,0.167133
71100,0.956709,0.786385,0.0129078,0.167421
71600,0.943869,0.784385,0.000686563,0.169538
72100,0.962413,0.787295,0.0189474,0.166457
72600,0.957273,0.783829,0.0135048,0.170127
73100,0.9442,0.784555,0.000336108,0.169358
73600,0.941209,0.786495,0.00350226,0.167305
74100,0.944332,0.782132,0.000196081,0.171924
74600,0.932332,0.785845,0.0129005,0.167993
75100,0.950573,0.782397,0.00641109,0.171644
75600,0.940595,0.783704,0.00415233,0.17026
76100,0.939028,0.782562,0.00581206,0.171468
76600,0.934543,0.78607,0.01056,0.167754
77100,0.932685,0.788885,0.0125274,0.164775
77600,0.918789,0.78616,0.0272399,0.16766
78100,0.943905,0.785928,0.000647883,0.167905
78600,0.958511,0.782417,0.0148163,0.171622
79100,0.954614,0.783148,0.0106904,0.170848
79600,0.947601,0.782023,0.00326444,0.17204
80100,0.95573,0.784095,0.0118718,0.169846
80600,0.942655,0.784355,0.00197148,0.169571
81100,0.952047,0.786708,0.00797198,0.167079
81600,0.941691,0.785343,0.00299201,0.168524
82100,0.956017,0.784312,0.0121754,0.169616
82600,0.932252,0.78615,0.0129859,0.16767
83100,0.944079,0.786859,0.000463479,0.166919
83600,0.930682,0.787225,0.0146481,0.166532
84100,0.944839,0.784614,0.000341223,0.169297
84600,0.939043,0.788061,0.00579622,0.165646
85100,0.939236,0.786275,0.00559121,0.167538
85600,0.946157,0.785888,0.00173566,0.167948
86100,0.929686,0.785749,0.015702,0.168094
86600,0.951651,0.787263,0.00755315,0.166491
87100,0.935545,0.78527,0.00949886,0.168602
87600,0.953938,0.784909,0.00997459,0.168984
88100,0.952509,0.78462,0.00846075,0.16929
88600,0.96491,0.785497,0.0215904,0.168362
89100,0.951313,0.787003,0.00719515,0.166766
89600,0.955045,0.785658,0.0111459,0.16819
90100,0.950444,0.786437,0.00627492,0.167366
90600,0.953146,0.783521,0.00913537,0.170453
91100,0.953842,0.784841,0.0098725,0.169056
